cpus=28
     hello.1.out-987225 [008] 692035.904489: funcgraph_entry:        2.859 us   |  mutex_unlock();
     hello.1.out-987225 [008] 692035.906737: funcgraph_entry:        0.326 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906738: funcgraph_entry:        0.294 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906740: funcgraph_entry:        0.674 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906741: funcgraph_entry:      + 14.386 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906756: funcgraph_entry:        0.312 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906756: funcgraph_entry:        0.364 us   |  up_read();
     hello.1.out-987225 [008] 692035.906757: funcgraph_entry:        0.281 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906758: funcgraph_entry:        0.267 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906759: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906759: sys_enter_close:      fd: 0x00000003
     hello.1.out-987225 [008] 692035.906760: funcgraph_exit:         0.617 us   |  }
     hello.1.out-987225 [008] 692035.906760: funcgraph_entry:        1.195 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906761: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906762: sys_exit_close:       0x0
     hello.1.out-987225 [008] 692035.906762: funcgraph_exit:         0.625 us   |  }
     hello.1.out-987225 [008] 692035.906762: funcgraph_entry:        0.281 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906764: funcgraph_entry:        0.612 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906765: funcgraph_entry:        7.296 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906773: funcgraph_entry:        0.287 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906773: funcgraph_entry:        0.299 us   |  up_read();
     hello.1.out-987225 [008] 692035.906774: funcgraph_entry:        0.283 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906775: funcgraph_entry:        0.279 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906785: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906786: sys_enter_mmap:       addr: 0x00000000, len: 0x00003000, prot: 0x00000003, flags: 0x00000022, fd: 0xffffffff, off: 0x00000000
     hello.1.out-987225 [008] 692035.906786: funcgraph_exit:         0.740 us   |  }
     hello.1.out-987225 [008] 692035.906786: funcgraph_entry:        9.611 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906796: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906797: sys_exit_mmap:        0x784c535fe000
     hello.1.out-987225 [008] 692035.906797: funcgraph_exit:         0.726 us   |  }
     hello.1.out-987225 [008] 692035.906797: funcgraph_entry:        0.315 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906799: funcgraph_entry:        0.857 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906801: funcgraph_entry:        9.847 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906811: funcgraph_entry:        0.303 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906811: funcgraph_entry:        0.312 us   |  up_read();
     hello.1.out-987225 [008] 692035.906812: funcgraph_entry:        0.281 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906813: funcgraph_entry:        0.273 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906814: funcgraph_entry:        0.669 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906815: funcgraph_entry:        6.721 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906822: funcgraph_entry:        0.320 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906823: funcgraph_entry:        0.304 us   |  up_read();
     hello.1.out-987225 [008] 692035.906824: funcgraph_entry:        0.277 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906824: funcgraph_entry:        0.283 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906825: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906826: sys_enter_arch_prctl: option: 0x00001002, arg2: 0x784c535fe740
     hello.1.out-987225 [008] 692035.906826: funcgraph_exit:         0.801 us   |  }
     hello.1.out-987225 [008] 692035.906826: funcgraph_entry:        1.201 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906828: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906828: sys_exit_arch_prctl:  0x0
     hello.1.out-987225 [008] 692035.906829: funcgraph_exit:         0.664 us   |  }
     hello.1.out-987225 [008] 692035.906829: funcgraph_entry:        0.279 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906830: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906830: sys_enter_set_tid_address: tidptr: 0x784c535fea10
     hello.1.out-987225 [008] 692035.906830: funcgraph_exit:         0.834 us   |  }
     hello.1.out-987225 [008] 692035.906831: funcgraph_entry:        1.521 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906833: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906833: sys_exit_set_tid_address: 0xf1059
     hello.1.out-987225 [008] 692035.906833: funcgraph_exit:         0.772 us   |  }
     hello.1.out-987225 [008] 692035.906834: funcgraph_entry:        0.280 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906835: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906835: sys_enter_set_robust_list: head: 0x784c535fea20, len: 0x00000018
     hello.1.out-987225 [008] 692035.906836: funcgraph_exit:         0.799 us   |  }
     hello.1.out-987225 [008] 692035.906836: funcgraph_entry:        0.538 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906837: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906837: sys_exit_set_robust_list: 0x0
     hello.1.out-987225 [008] 692035.906837: funcgraph_exit:         0.815 us   |  }
     hello.1.out-987225 [008] 692035.906838: funcgraph_entry:        0.278 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906839: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906839: sys_enter_rseq:       rseq: 0x784c535ff060, rseq_len: 0x00000020, flags: 0x00000000, sig: 0x53053053
     hello.1.out-987225 [008] 692035.906840: funcgraph_exit:         0.915 us   |  }
     hello.1.out-987225 [008] 692035.906840: funcgraph_entry:        0.825 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906841: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906841: sys_exit_rseq:        0x0
     hello.1.out-987225 [008] 692035.906842: funcgraph_exit:         0.807 us   |  }
     hello.1.out-987225 [008] 692035.906842: funcgraph_entry:        0.311 us   |  mem_cgroup_handle_over_high();
     hello.1.out-987225 [008] 692035.906843: funcgraph_entry:        0.281 us   |  blkcg_maybe_throttle_current();
     hello.1.out-987225 [008] 692035.906843: funcgraph_entry:        0.852 us   |  __rseq_handle_notify_resume();
     hello.1.out-987225 [008] 692035.906845: funcgraph_entry:        0.333 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906847: funcgraph_entry:        0.698 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906848: funcgraph_entry:        8.867 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906857: funcgraph_entry:        0.298 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906858: funcgraph_entry:        0.314 us   |  up_read();
     hello.1.out-987225 [008] 692035.906858: funcgraph_entry:        0.280 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906859: funcgraph_entry:        0.277 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906862: funcgraph_entry:        0.610 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906863: funcgraph_entry:        9.141 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906872: funcgraph_entry:        0.320 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906873: funcgraph_entry:        0.339 us   |  up_read();
     hello.1.out-987225 [008] 692035.906873: funcgraph_entry:        0.302 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906874: funcgraph_entry:        0.294 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906879: funcgraph_entry:        0.621 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906880: funcgraph_entry:        8.635 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906889: funcgraph_entry:        0.311 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906889: funcgraph_entry:        0.307 us   |  up_read();
     hello.1.out-987225 [008] 692035.906890: funcgraph_entry:        0.285 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906890: funcgraph_entry:        0.273 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906897: funcgraph_entry:        0.608 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906898: funcgraph_entry:        8.586 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906906: funcgraph_entry:        0.320 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906907: funcgraph_entry:        0.310 us   |  up_read();
     hello.1.out-987225 [008] 692035.906908: funcgraph_entry:        0.288 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906908: funcgraph_entry:        0.282 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906913: funcgraph_entry:        0.689 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906914: funcgraph_entry:      + 11.417 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906925: funcgraph_entry:        0.276 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906926: funcgraph_entry:        0.294 us   |  up_read();
     hello.1.out-987225 [008] 692035.906926: funcgraph_entry:        0.284 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906927: funcgraph_entry:        0.273 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906940: funcgraph_entry:        0.400 us   |  irq_enter_rcu();
     hello.1.out-987225 [008] 692035.906940: funcgraph_entry:      + 15.276 us  |  __sysvec_apic_timer_interrupt();
     hello.1.out-987225 [008] 692035.906956: funcgraph_entry:        0.476 us   |  irq_exit_rcu();
     hello.1.out-987225 [008] 692035.906957: funcgraph_entry:        0.363 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906979: funcgraph_entry:        0.848 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906980: funcgraph_entry:      + 12.271 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906992: funcgraph_entry:        0.311 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906993: funcgraph_entry:        0.317 us   |  up_read();
     hello.1.out-987225 [008] 692035.906994: funcgraph_entry:        0.309 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906994: funcgraph_entry:        0.309 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906996: funcgraph_entry:        0.695 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906997: funcgraph_entry:        9.795 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907008: funcgraph_entry:        0.305 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907008: funcgraph_entry:        0.309 us   |  up_read();
     hello.1.out-987225 [008] 692035.907009: funcgraph_entry:        0.288 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907009: funcgraph_entry:        0.266 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907012: funcgraph_entry:        0.776 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907013: funcgraph_entry:      + 11.250 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907025: funcgraph_entry:        0.315 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907025: funcgraph_entry:        0.307 us   |  up_read();
     hello.1.out-987225 [008] 692035.907026: funcgraph_entry:        0.288 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907026: funcgraph_entry:        0.307 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907030: funcgraph_entry:        0.770 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907031: funcgraph_entry:      + 11.306 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907042: funcgraph_entry:        0.314 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907043: funcgraph_entry:        0.316 us   |  up_read();
     hello.1.out-987225 [008] 692035.907044: funcgraph_entry:        0.298 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907044: funcgraph_entry:        0.290 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907048: funcgraph_entry:        0.739 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907050: funcgraph_entry:      + 11.875 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907062: funcgraph_entry:        0.308 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907062: funcgraph_entry:        0.315 us   |  up_read();
     hello.1.out-987225 [008] 692035.907063: funcgraph_entry:        0.292 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907064: funcgraph_entry:        0.303 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907068: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907069: sys_enter_mprotect:   start: 0x784c533ff000, len: 0x00004000, prot: 0x00000001
     hello.1.out-987225 [008] 692035.907069: funcgraph_exit:         0.845 us   |  }
     hello.1.out-987225 [008] 692035.907069: funcgraph_entry:      + 25.552 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907095: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907096: sys_exit_mprotect:    0x0
     hello.1.out-987225 [008] 692035.907096: funcgraph_exit:         0.808 us   |  }
     hello.1.out-987225 [008] 692035.907097: funcgraph_entry:        0.335 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907101: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907102: sys_enter_mprotect:   start: 0x604a12fcd000, len: 0x00001000, prot: 0x00000001
     hello.1.out-987225 [008] 692035.907102: funcgraph_exit:         0.770 us   |  }
     hello.1.out-987225 [008] 692035.907102: funcgraph_entry:      + 13.161 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907116: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907116: sys_exit_mprotect:    0x0
     hello.1.out-987225 [008] 692035.907117: funcgraph_exit:         0.734 us   |  }
     hello.1.out-987225 [008] 692035.907117: funcgraph_entry:        0.330 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907124: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907124: sys_enter_mprotect:   start: 0x784c53651000, len: 0x00002000, prot: 0x00000001
     hello.1.out-987225 [008] 692035.907125: funcgraph_exit:         0.757 us   |  }
     hello.1.out-987225 [008] 692035.907125: funcgraph_entry:      + 15.015 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907141: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907141: sys_exit_mprotect:    0x0
     hello.1.out-987225 [008] 692035.907141: funcgraph_exit:         0.737 us   |  }
     hello.1.out-987225 [008] 692035.907142: funcgraph_entry:        0.333 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907144: funcgraph_entry:        0.979 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907145: funcgraph_entry:      + 11.403 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907157: funcgraph_entry:        0.322 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907158: funcgraph_entry:        0.315 us   |  up_read();
     hello.1.out-987225 [008] 692035.907158: funcgraph_entry:        0.312 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907159: funcgraph_entry:        0.286 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907161: funcgraph_entry:        0.782 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907162: funcgraph_entry:      + 10.963 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907174: funcgraph_entry:        0.312 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907174: funcgraph_entry:        0.309 us   |  up_read();
     hello.1.out-987225 [008] 692035.907175: funcgraph_entry:        0.306 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907176: funcgraph_entry:        0.286 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907178: funcgraph_entry:        0.750 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907179: funcgraph_entry:        6.874 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907186: funcgraph_entry:        0.312 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907186: funcgraph_entry:        0.381 us   |  up_read();
     hello.1.out-987225 [008] 692035.907187: funcgraph_entry:        0.640 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907188: funcgraph_entry:        0.288 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907190: funcgraph_entry:        0.694 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907191: funcgraph_entry:        6.446 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907197: funcgraph_entry:        0.297 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907198: funcgraph_entry:        0.311 us   |  up_read();
     hello.1.out-987225 [008] 692035.907199: funcgraph_entry:        0.332 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907199: funcgraph_entry:        0.285 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907201: funcgraph_entry:        0.807 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907203: funcgraph_entry:      + 11.199 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907214: funcgraph_entry:        0.320 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907215: funcgraph_entry:        0.311 us   |  up_read();
     hello.1.out-987225 [008] 692035.907215: funcgraph_entry:        0.282 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907216: funcgraph_entry:        0.286 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907217: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907217: sys_enter_prlimit64:  pid: 0x00000000, resource: 0x00000003, new_rlim: 0x00000000, old_rlim: 0x7ffee2608cd0
     hello.1.out-987225 [008] 692035.907218: funcgraph_exit:         0.821 us   |  }
     hello.1.out-987225 [008] 692035.907218: funcgraph_entry:        1.852 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907220: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907221: sys_exit_prlimit64:   0x0
     hello.1.out-987225 [008] 692035.907221: funcgraph_exit:         0.803 us   |  }
     hello.1.out-987225 [008] 692035.907221: funcgraph_entry:        0.280 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907223: funcgraph_entry:        0.638 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907224: funcgraph_entry:        6.901 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907231: funcgraph_entry:        0.273 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907232: funcgraph_entry:        0.305 us   |  up_read();
     hello.1.out-987225 [008] 692035.907232: funcgraph_entry:        0.281 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907233: funcgraph_entry:        0.277 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907235: funcgraph_entry:        0.800 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907236: funcgraph_entry:      + 12.232 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907249: funcgraph_entry:        0.317 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907249: funcgraph_entry:        0.316 us   |  up_read();
     hello.1.out-987225 [008] 692035.907250: funcgraph_entry:        0.300 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907250: funcgraph_entry:        0.279 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907253: funcgraph_entry:        0.734 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907254: funcgraph_entry:        9.650 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907264: funcgraph_entry:        0.319 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907264: funcgraph_entry:        0.324 us   |  up_read();
     hello.1.out-987225 [008] 692035.907265: funcgraph_entry:        0.288 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907265: funcgraph_entry:        0.296 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907268: funcgraph_entry:        0.646 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907269: funcgraph_entry:        2.223 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907271: funcgraph_entry:        0.286 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907272: funcgraph_entry:        0.295 us   |  up_read();
     hello.1.out-987225 [008] 692035.907272: funcgraph_entry:        0.279 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907273: funcgraph_entry:        0.284 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907274: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907275: sys_enter_munmap:     addr: 0x784c53601000, len: 0x00011d07
     hello.1.out-987225 [008] 692035.907275: funcgraph_exit:         0.802 us   |  }
     hello.1.out-987225 [008] 692035.907275: funcgraph_entry:      + 46.248 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907322: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907323: sys_exit_munmap:      0x0
     hello.1.out-987225 [008] 692035.907323: funcgraph_exit:         0.789 us   |  }
     hello.1.out-987225 [008] 692035.907323: funcgraph_entry:        5.995 us   |  task_work_run();
     hello.1.out-987225 [008] 692035.907330: funcgraph_entry:        0.402 us   |  mem_cgroup_handle_over_high();
     hello.1.out-987225 [008] 692035.907330: funcgraph_entry:        0.301 us   |  blkcg_maybe_throttle_current();
     hello.1.out-987225 [008] 692035.907331: funcgraph_entry:        0.710 us   |  __rseq_handle_notify_resume();
     hello.1.out-987225 [008] 692035.907332: funcgraph_entry:        0.275 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907335: funcgraph_entry:        0.740 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907337: funcgraph_entry:      + 11.500 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907349: funcgraph_entry:        0.312 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907349: funcgraph_entry:        0.312 us   |  up_read();
     hello.1.out-987225 [008] 692035.907350: funcgraph_entry:        0.292 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907351: funcgraph_entry:        0.272 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907354: funcgraph_entry:        0.844 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907355: funcgraph_entry:        4.449 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907360: funcgraph_entry:        0.321 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907360: funcgraph_entry:        0.320 us   |  up_read();
     hello.1.out-987225 [008] 692035.907361: funcgraph_entry:        0.303 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907361: funcgraph_entry:        0.284 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907364: funcgraph_entry:        0.778 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907365: funcgraph_entry:      + 11.627 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907377: funcgraph_entry:        0.314 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907377: funcgraph_entry:        0.313 us   |  up_read();
     hello.1.out-987225 [008] 692035.907378: funcgraph_entry:        0.285 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907379: funcgraph_entry:        0.279 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907382: funcgraph_entry:        0.742 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907383: funcgraph_entry:      + 11.206 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907395: funcgraph_entry:        0.309 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907395: funcgraph_entry:        0.308 us   |  up_read();
     hello.1.out-987225 [008] 692035.907396: funcgraph_entry:        0.286 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907396: funcgraph_entry:        0.305 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907399: funcgraph_entry:        0.662 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907400: funcgraph_entry:        4.039 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907404: funcgraph_entry:        0.283 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907405: funcgraph_entry:        0.305 us   |  up_read();
     hello.1.out-987225 [008] 692035.907406: funcgraph_entry:        0.282 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907406: funcgraph_entry:        0.259 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907408: funcgraph_entry:        0.742 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907409: funcgraph_entry:      + 11.060 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907421: funcgraph_entry:        0.300 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907421: funcgraph_entry:        0.305 us   |  up_read();
     hello.1.out-987225 [008] 692035.907422: funcgraph_entry:        0.276 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907422: funcgraph_entry:        0.281 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907425: funcgraph_entry:        0.779 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907426: funcgraph_entry:      + 11.042 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907437: funcgraph_entry:        0.324 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907438: funcgraph_entry:        0.319 us   |  up_read();
     hello.1.out-987225 [008] 692035.907439: funcgraph_entry:        0.296 us   |  __rcu_read_unlock();
